Training with a single process on 1 GPUs.
Model ViTAE_basic_Small created, param count: 24032136
Model ViTAE_basic_Small created, trainable param count: 24009096
Data processing configuration for current model + dataset:
	input_size: (3, 224, 224)
	interpolation: bicubic
	mean: (0.485, 0.456, 0.406)
	std: (0.229, 0.224, 0.225)
	crop_pct: 0.9
/home/user/conda/lib/python3.8/site-packages/apex/__init__.py:68: DeprecatedFeatureWarning: apex.amp is deprecated and will be removed by the end of February 2023. Use [PyTorch AMP](https://pytorch.org/docs/stable/amp.html)
  warnings.warn(msg, DeprecatedFeatureWarning)
Using NVIDIA APEX AMP. Training in mixed precision.
Scheduled epochs: 310
/home/user/conda/lib/python3.8/site-packages/torchvision/transforms/transforms.py:287: UserWarning: Argument interpolation should be of type InterpolationMode instead of int. Please, use InterpolationMode enum.
  warnings.warn(
Train: 0 [   0/10009 (  0%)]  Loss:  6.948947 (6.9489)  Time: 21.288s,    6.01/s  (21.288s,    6.01/s)  LR: 1.000e-06  Data: 16.386 (16.386)
Train: 0 [  50/10009 (  0%)]  Loss:  6.940417 (6.9492)  Time: 0.659s,  194.36/s  (2.170s,   58.99/s)  LR: 1.000e-06  Data: 0.023 (1.435)
Train: 0 [ 100/10009 (  1%)]  Loss:  6.954496 (6.9484)  Time: 0.697s,  183.73/s  (2.024s,   63.23/s)  LR: 1.000e-06  Data: 0.031 (1.327)
Train: 0 [ 150/10009 (  1%)]  Loss:  6.970660 (6.9472)  Time: 0.655s,  195.37/s  (1.934s,   66.18/s)  LR: 1.000e-06  Data: 0.016 (1.249)
Train: 0 [ 200/10009 (  2%)]  Loss:  6.964322 (6.9453)  Time: 1.719s,   74.48/s  (1.892s,   67.65/s)  LR: 1.000e-06  Data: 1.059 (1.214)
Train: 0 [ 250/10009 (  2%)]  Loss:  6.930616 (6.9428)  Time: 8.139s,   15.73/s  (1.860s,   68.82/s)  LR: 1.000e-06  Data: 7.482 (1.184)
Train: 0 [ 300/10009 (  3%)]  Loss:  6.933412 (6.9420)  Time: 0.677s,  188.93/s  (1.846s,   69.34/s)  LR: 1.000e-06  Data: 0.016 (1.171)
Train: 0 [ 350/10009 (  3%)]  Loss:  6.947525 (6.9406)  Time: 1.285s,   99.61/s  (1.851s,   69.13/s)  LR: 1.000e-06  Data: 0.622 (1.178)
Train: 0 [ 400/10009 (  4%)]  Loss:  6.930505 (6.9395)  Time: 0.653s,  195.99/s  (1.829s,   69.98/s)  LR: 1.000e-06  Data: 0.017 (1.155)
Train: 0 [ 450/10009 (  4%)]  Loss:  6.927108 (6.9387)  Time: 4.728s,   27.07/s  (1.806s,   70.86/s)  LR: 1.000e-06  Data: 4.067 (1.134)
Train: 0 [ 500/10009 (  5%)]  Loss:  6.985416 (6.9380)  Time: 0.685s,  186.88/s  (1.816s,   70.49/s)  LR: 1.000e-06  Data: 0.022 (1.143)
Train: 0 [ 550/10009 (  5%)]  Loss:  6.957767 (6.9369)  Time: 0.674s,  189.95/s  (1.822s,   70.24/s)  LR: 1.000e-06  Data: 0.017 (1.151)
Train: 0 [ 600/10009 (  6%)]  Loss:  6.928391 (6.9358)  Time: 0.687s,  186.33/s  (1.827s,   70.05/s)  LR: 1.000e-06  Data: 0.018 (1.157)
Train: 0 [ 650/10009 (  6%)]  Loss:  6.923176 (6.9349)  Time: 10.491s,   12.20/s  (1.836s,   69.72/s)  LR: 1.000e-06  Data: 9.831 (1.165)
Train: 0 [ 700/10009 (  7%)]  Loss:  6.902381 (6.9340)  Time: 0.678s,  188.80/s  (1.839s,   69.59/s)  LR: 1.000e-06  Data: 0.016 (1.169)
Train: 0 [ 750/10009 (  7%)]  Loss:  6.913620 (6.9332)  Time: 0.682s,  187.79/s  (1.842s,   69.49/s)  LR: 1.000e-06  Data: 0.018 (1.172)
Train: 0 [ 800/10009 (  8%)]  Loss:  6.934669 (6.9325)  Time: 0.654s,  195.70/s  (1.817s,   70.46/s)  LR: 1.000e-06  Data: 0.013 (1.146)
Train: 0 [ 850/10009 (  8%)]  Loss:  6.895004 (6.9317)  Time: 6.681s,   19.16/s  (1.811s,   70.67/s)  LR: 1.000e-06  Data: 6.012 (1.141)
Train: 0 [ 900/10009 (  9%)]  Loss:  6.934307 (6.9309)  Time: 6.047s,   21.17/s  (1.813s,   70.59/s)  LR: 1.000e-06  Data: 5.396 (1.143)
